loc_id,loc_label,id,wikidata_id,worldcat_id,viaf_id
http://id.loc.gov/authorities/names/n81018365,Pink Hill,NCG11896,http://www.wikidata.org/entity/Q2027809,http://id.worldcat.org/fast/1211838,http://viaf.org/viaf/sourceID/LC%7Cn++81018365#skos:Concept
http://id.loc.gov/authorities/names/no2017083755,Misenheimer,NCG10207,http://www.wikidata.org/entity/Q3474795,,http://viaf.org/viaf/sourceID/LC%7Cno2017083755#skos:Concept
http://id.loc.gov/authorities/names/n80004317,Jones County,NCG07971,http://www.wikidata.org/entity/Q502492,http://id.worldcat.org/fast/1207407,http://viaf.org/viaf/sourceID/LC%7Cn++80004317#skos:Concept
http://id.loc.gov/authorities/names/n99270688,Tower Hill,NCG15299,,http://id.worldcat.org/fast/1288761,http://viaf.org/viaf/sourceID/LC%7Cn++99270688#skos:Concept
http://id.loc.gov/authorities/names/n82074536,Dublin,NCG04504,http://www.wikidata.org/entity/Q2024796,http://id.worldcat.org/fast/1220145,http://viaf.org/viaf/sourceID/LC%7Cn++82074536#skos:Concept
http://id.loc.gov/authorities/names/n81132455,Forest City,NCG05390,http://www.wikidata.org/entity/Q2027204,http://id.worldcat.org/fast/1216525,http://viaf.org/viaf/sourceID/LC%7Cn++81132455#skos:Concept
http://id.loc.gov/authorities/names/n82076115,Reidsville,NCG12651,http://www.wikidata.org/entity/Q269015,http://id.worldcat.org/fast/1220231,http://viaf.org/viaf/sourceID/LC%7Cn++82076115#skos:Concept
http://id.loc.gov/authorities/names/n82084044,Staley,NCG14494,http://www.wikidata.org/entity/Q2023791,http://id.worldcat.org/fast/1220539,http://viaf.org/viaf/sourceID/LC%7Cn++82084044#skos:Concept
http://id.loc.gov/authorities/names/n84136601,Raeford,NCG12406,http://www.wikidata.org/entity/Q553071,http://id.worldcat.org/fast/1229669,http://viaf.org/viaf/sourceID/LC%7Cn++84136601#skos:Concept
http://id.loc.gov/authorities/names/n82020167,Columbus County,NCG03386,http://www.wikidata.org/entity/Q509813,http://id.worldcat.org/fast/1218238,http://viaf.org/viaf/sourceID/LC%7Cn++82020167#skos:Concept
http://id.loc.gov/authorities/names/n84136625,Warsaw,NCG15903,http://www.wikidata.org/entity/Q2026708,http://id.worldcat.org/fast/1348289|http://id.worldcat.org/fast/1229941,http://viaf.org/viaf/sourceID/LC%7Cn++84136625#skos:Concept
http://id.loc.gov/authorities/names/n81084389,Fremont,NCG05566,http://www.wikidata.org/entity/Q2027763,http://id.worldcat.org/fast/1214461,http://viaf.org/viaf/sourceID/LC%7Cn++81084389#skos:Concept
http://id.loc.gov/authorities/names/n88080729,Stovall,NCG14704,http://www.wikidata.org/entity/Q2022336,http://id.worldcat.org/fast/1248357,http://viaf.org/viaf/sourceID/LC%7Cn++88080729#skos:Concept
http://id.loc.gov/authorities/names/n81018364,Lenoir County (leh-NOR),NCG08656,http://www.wikidata.org/entity/Q507907,http://id.worldcat.org/fast/1211837,http://viaf.org/viaf/sourceID/LC%7Cn++81018364#skos:Concept
http://id.loc.gov/authorities/names/n2008043423,Manns Harbor,NCG09546,,http://id.worldcat.org/fast/1875882,http://viaf.org/viaf/sourceID/LC%7Cn+2008043423#skos:Concept
http://id.loc.gov/authorities/names/no2016106200,Ruffin,NCG13189,,,http://viaf.org/viaf/sourceID/LC%7Cno2016106200#skos:Concept
http://id.loc.gov/authorities/names/n79021388,Craven County,NCG03747,http://www.wikidata.org/entity/Q529958,http://id.worldcat.org/fast/1204549,http://viaf.org/viaf/sourceID/LC%7Cn++79021388#skos:Concept
http://id.loc.gov/authorities/names/n82105489,Laurinburg,NCG08539,http://www.wikidata.org/entity/Q1904873,http://id.worldcat.org/fast/1221258,http://viaf.org/viaf/sourceID/LC%7Cn++82105489#skos:Concept
