film_name,wikidata_QID,IMDb_ID,IMDb_URL,IMDb_locations_URL,place,ncg_ID
Road to Nowhere,Q3434096,tt1504319,https://www.imdb.com/title/tt1504319,https://www.imdb.com/title/tt1504319/locations?ref_=tt_ql_sm,Waynesville|Maggie Valley,NCG15996|NCG09489
Safe Haven,Q1767513,tt1702439,https://www.imdb.com/title/tt1702439,https://www.imdb.com/title/tt1702439/locations?ref_=tt_ql_sm,Southport|Wilmington|Southport|Kure Beach,NCG14304|NCG16454|NCG14304|NCG08323
Shadrach,Q1826076,tt0144604,https://www.imdb.com/title/tt0144604,https://www.imdb.com/title/tt0144604/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Shallow Hal,Q1140935,tt0256380,https://www.imdb.com/title/tt0256380,https://www.imdb.com/title/tt0256380/locations?ref_=tt_ql_sm,Charlotte|Concord,NCG02916|NCG03409
Silver Bullet,Q1198033,tt0090021,https://www.imdb.com/title/tt0090021,https://www.imdb.com/title/tt0090021/locations?ref_=tt_ql_sm,Burgaw|Wilmington|Leland|Castle Hayne,NCG02179|NCG16454|NCG08643|NCG02704
Sleeping with the Enemy,Q1193347,tt0102945,https://www.imdb.com/title/tt0102945,https://www.imdb.com/title/tt0102945/locations?ref_=tt_ql_sm,Wrightsville Beach|Kure Beach,NCG16691|NCG08323
Songcatcher,Q1298217,tt0210299,https://www.imdb.com/title/tt0210299,https://www.imdb.com/title/tt0210299/locations?ref_=tt_ql_sm,Asheville,NCG00366
Southern Belles,Q7569675,tt0423238,https://www.imdb.com/title/tt0423238,https://www.imdb.com/title/tt0423238/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Speedway,Q605374,tt0063634,https://www.imdb.com/title/tt0063634,https://www.imdb.com/title/tt0063634/locations?ref_=tt_ql_sm,Concord,NCG03409
Stark Love,Q2519621,tt0018446,https://www.imdb.com/title/tt0018446,https://www.imdb.com/title/tt0018446/locations?ref_=tt_ql_sm,Great Smoky Mountains,NCG06199
Stroker Ace,Q655487,tt0086379,https://www.imdb.com/title/tt0086379,https://www.imdb.com/title/tt0086379/locations?ref_=tt_ql_sm,Charlotte,NCG02916
Stroszek,Q587566,tt0075276,https://www.imdb.com/title/tt0075276,https://www.imdb.com/title/tt0075276/locations?ref_=tt_ql_sm,Cherokee,NCG02957
Stuck in Love,Q4363611,tt2205697,https://www.imdb.com/title/tt2205697,https://www.imdb.com/title/tt2205697/locations?ref_=tt_ql_sm,Wrightsville Beach|Wilmington,NCG16691|NCG16454
Stuck in Love,Q4363611,tt2205697,https://www.imdb.com/title/tt2205697,https://www.imdb.com/title/tt2205697/locations?ref_=tt_ql_sm,Wrightsville Beach|Wilmington,NCG16691|NCG16454
Sully,Q21062112,tt3263904,https://www.imdb.com/title/tt3263904,https://www.imdb.com/title/tt3263904/locations?ref_=tt_ql_sm,Charlotte,NCG02916
Summer Catch,Q2297497,tt0234829,https://www.imdb.com/title/tt0234829,https://www.imdb.com/title/tt0234829/locations?ref_=tt_ql_sm,Southport,NCG14304
Super Mario Bros.,Q535550,tt0108255,https://www.imdb.com/title/tt0108255,https://www.imdb.com/title/tt0108255/locations?ref_=tt_ql_sm,Wilmington|Castle Hayne,NCG16454|NCG02704
Takedown,Q992496,tt0159784,https://www.imdb.com/title/tt0159784,https://www.imdb.com/title/tt0159784/locations?ref_=tt_ql_sm,Wilmington,NCG16454
